"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"211762_s_at",-0.686263325529567,7.12910872319916,0,0.885122215724529,1,"211762_s_at"
"201304_at",-0.573034563131895,8.28301443343645,0,0.885575896549644,1,"201304_at"
"202033_s_at",-0.717191189182179,8.08138851249447,0,0.886637074955798,1,"202033_s_at"
"219619_at",-0.64167029788187,9.40976539598282,0,0.88739458540963,1,"219619_at"
"217800_s_at",-0.59283886786274,8.99154995571601,0,0.887497565453377,1,"217800_s_at"
"213592_at",0.662512221752415,10.2708575201382,0,0.889114721438363,1,"213592_at"
"218197_s_at",-0.680801191948875,5.30476866632177,0,0.889477500352941,1,"218197_s_at"
"214230_at",-0.659097267903362,7.50228131814292,0,0.889489912373724,1,"214230_at"
"201577_at",-0.576907424574083,8.46215218325766,0,0.890285085662848,1,"201577_at"
"213366_x_at",-0.655075955882443,9.19501614007677,0,0.89133542357534,1,"213366_x_at"
"200605_s_at",-0.560902110325609,8.72538482979473,0,0.89149551355879,1,"200605_s_at"
"210383_at",-0.629062274673728,6.65975334750735,0,0.893904995834135,1,"210383_at"
"201889_at",-0.60379369046055,8.01724903337517,0,0.894017148656965,1,"201889_at"
"213967_at",-0.667428094785274,8.41764303315385,0,0.894542785192232,1,"213967_at"
"208841_s_at",-0.603678105419931,8.64709695214454,0,0.895359219484112,1,"208841_s_at"
"202242_at",-0.625022835800916,9.86029892894812,0,0.896340923300392,1,"202242_at"
"219028_at",0.657739622630531,8.29252901247858,0,0.89644780062091,1,"219028_at"
"206052_s_at",-0.648900007236225,7.45222834631852,0,0.896630518515857,1,"206052_s_at"
"200641_s_at",-0.586407990013886,8.04595188831331,0,0.896968765613317,1,"200641_s_at"
"203266_s_at",-0.669527253363323,7.80290938724167,0,0.897598871275182,1,"203266_s_at"
"218332_at",-0.643402335673754,11.0959367786821,0,0.899814863550491,1,"218332_at"
"218042_at",-0.650034471041021,7.72369361073504,0,0.900333904145181,1,"218042_at"
"205051_s_at",-0.658931239916251,8.16204631885005,0,0.903053892128971,1,"205051_s_at"
"202591_s_at",-0.592584145997572,7.10877614089134,0,0.903123160489565,1,"202591_s_at"
"217202_s_at",-0.481414789788285,8.25700845168091,0,0.903344005214346,1,"217202_s_at"
"215716_s_at",-0.599426880242057,7.49369391771828,0,0.90446157974151,1,"215716_s_at"
"201792_at",0.62658083645567,6.55816819139819,0,0.905489554391027,1,"201792_at"
"217294_s_at",-0.35942272929923,7.20842799996269,0,0.907190813298848,1,"217294_s_at"
"212453_at",-0.62240187348096,7.6834221457307,0,0.907444222392721,1,"212453_at"
"205048_s_at",-0.469435255759925,4.20987670483974,0,0.907714913229674,1,"205048_s_at"
"201689_s_at",-0.569236232741442,6.56950587306154,0,0.908543070860773,1,"201689_s_at"
"200599_s_at",-0.588220786425799,8.74234615167706,0,0.908576385444633,1,"200599_s_at"
"219167_at",0.672260303512605,7.9033590227555,0,0.908721571916886,1,"219167_at"
"209793_at",-0.687786719656851,8.56458762652101,0,0.909328980277373,1,"209793_at"
"200996_at",-0.587154773623848,7.55210831335349,0,0.909380586158402,1,"200996_at"
"211071_s_at",-0.611607273973901,10.5644002991318,0,0.910457699978533,1,"211071_s_at"
"212271_at",-0.596983650415924,8.74218125549254,0,0.910548574392399,1,"212271_at"
"214356_s_at",-0.705180079062187,7.7802619271357,0,0.910898540393109,1,"214356_s_at"
"202988_s_at",0.431886594706736,5.03009100976269,0,0.910973871099315,1,"202988_s_at"
"210471_s_at",-0.664824298428059,6.90787784555825,0,0.911568190285265,1,"210471_s_at"
"210149_s_at",-0.646443846139706,9.26325506727746,0,0.912040159861887,1,"210149_s_at"
"200750_s_at",-0.557529888593994,7.39443950658505,0,0.912331232717476,1,"200750_s_at"
"205174_s_at",-0.689873611462537,4.47412427642614,0,0.913213092894685,1,"205174_s_at"
"209047_at",0.552460229867604,10.0732940741342,0,0.913586236569253,1,"209047_at"
"200650_s_at",-0.62301375539263,10.1271116684993,0,0.913589194624187,1,"200650_s_at"
"218477_at",-0.623667437399209,8.71375432837302,0,0.913845843622227,1,"218477_at"
"201669_s_at",-0.504254619700994,8.66592722439872,0,0.914076019569361,1,"201669_s_at"
"216379_x_at",-0.391913771247891,9.15129249189384,0,0.914201338236961,1,"216379_x_at"
"205632_s_at",-0.657055851724726,7.14962773744196,0,0.914463630513675,1,"205632_s_at"
"200666_s_at",-0.480900138893851,9.3828494629127,0,0.915312704378018,1,"200666_s_at"
"212751_at",-0.614959954331566,7.78110902345171,0,0.915383683023449,1,"212751_at"
"201443_s_at",-0.551384083001587,9.01569902871297,0,0.915591575880508,1,"201443_s_at"
"205711_x_at",-0.627722943027464,8.9108311472649,0,0.915703437138945,1,"205711_x_at"
"205549_at",-0.541986634421933,8.62879709474506,0,0.915924196231343,1,"205549_at"
"204165_at",-0.606344358550968,9.86868887711011,0,0.916126136520135,1,"204165_at"
"212223_at",-0.616070564163872,9.37357232691379,0,0.917385225599583,1,"212223_at"
"202457_s_at",-0.690387485308877,10.4936014688333,0,0.917780764650022,1,"202457_s_at"
"200973_s_at",-0.472545593928849,7.96301885145648,0,0.917906376284585,1,"200973_s_at"
"201078_at",-0.576244298770096,7.33079968943365,0,0.918025475010778,1,"201078_at"
"212878_s_at",-0.565125490538002,7.98645610643764,0,0.918338209911183,1,"212878_s_at"
"207974_s_at",-0.530817972288744,8.71864493620072,0,0.918511815836724,1,"207974_s_at"
"AFFX-HUMGAPDH/M33197_5_at",-0.401598288918553,10.584516399386,0,0.918923698116927,1,"AFFX-HUMGAPDH/M33197_5_at"
"207081_s_at",-0.643715950566621,8.26468565584902,0,0.919100381503089,1,"207081_s_at"
"209228_x_at",-0.589683807968325,7.18888186002556,0,0.919557230129256,1,"209228_x_at"
"207103_at",-0.696980186622847,6.41053182543715,0,0.91963151865132,1,"207103_at"
"209301_at",-0.379327934631668,8.50453862351918,0,0.919658729902994,1,"209301_at"
"219525_at",0.599989756450038,7.02254727380635,0,0.920407359134885,1,"219525_at"
"203498_at",-0.600234315480538,8.65732466177572,0,0.920470832593866,1,"203498_at"
"202077_at",-0.548941156299627,8.94626515893743,0,0.920670986419176,1,"202077_at"
"205489_at",-0.548902140392714,8.75430838425467,0,0.921002649043552,1,"205489_at"
"212192_at",-0.433569502458944,8.63014576299379,0,0.921408854448414,1,"212192_at"
"200648_s_at",-0.422744574522138,8.4363409073594,0,0.921987044057189,1,"200648_s_at"
"200064_at",-0.634885072945265,10.394485208572,0,0.922411186056128,1,"200064_at"
"209189_at",-0.375465580539665,7.94552743029839,0,0.922481141608419,1,"209189_at"
"204072_s_at",-0.654509944067151,7.60609771646517,0,0.923075455338787,1,"204072_s_at"
"201340_s_at",-0.514290650474201,7.91362494948408,0,0.923438403920062,1,"201340_s_at"
"207508_at",-0.597777452938368,8.62536749740763,0,0.923682718639086,1,"207508_at"
"221086_s_at",-0.634448356316546,7.49070661129296,0,0.923777366265168,1,"221086_s_at"
"217732_s_at",-0.557826662016742,10.6512278586711,0,0.923889042835562,1,"217732_s_at"
"207791_s_at",-0.584103782785673,4.96936925827977,0,0.92396552987618,1,"207791_s_at"
"217356_s_at",-0.539853788671703,7.05584738466329,0,0.925090927285374,1,"217356_s_at"
"217743_s_at",-0.552877986008232,7.40102400450987,0,0.925103011779325,1,"217743_s_at"
